message,label
"Congratulations! You have won a free iPhone. Claim your prize now.","spam"
"Please submit your assignment before Friday.","ham"
"Win a $1000 gift voucher today. Reply YES to receive your reward.","spam"
"Are we meeting at the library at 5 PM?","ham"
"URGENT! You have been selected for a cash reward. Click now.","spam"
"Please send me the project report when you get time.","ham"
"Claim your FREE shopping voucher before the offer expires.","spam"
"The team meeting has been moved to 3 PM today.","ham"
"Congratulations winner! You have been chosen for a special cash prize.","spam"
"Can you call me after class?","ham"
"Exclusive offer! Get 90 percent discount on luxury watches.","spam"
"Your assignment submission deadline is Friday.","ham"
"You have won a brand new laptop. Contact us to claim your prize.","spam"
"Please remember to bring the documents to the office.","ham"
"Earn thousands every week working from home. Start today.","spam"
"Thanks for sending the presentation. I will review it tonight.","ham"
"Free cash waiting for you. Click the link and claim now.","spam"
"Let's discuss the project after the lecture.","ham"
"Get cheap loans instantly with no credit check. Apply today.","spam"
"I will reach home around 8 PM.","ham"
"Congratulations! You are eligible for a free travel voucher.","spam"
"Could you share the notes from today's class?","ham"
"Win free tickets to the concert. Send your details now.","spam"
"The bus will arrive at the usual stop at 7 AM.","ham"
"Your reward expires tonight. Verify your identity to receive payment.","spam"
"Please confirm whether you are attending the workshop.","ham"
"Special promotion! Buy one and get five products absolutely free.","spam"
"I have attached the meeting agenda for tomorrow.","ham"
"Get rich quickly with our proven trading method. Join now.","spam"
"Can we reschedule our appointment to Monday?","ham"
"Winner alert! Claim your luxury holiday by clicking this link.","spam"
"Don't forget to submit the lab file before noon.","ham"
"Your email has been selected for a premium reward. Confirm now.","spam"
"The professor asked everyone to bring their laptops.","ham"
"Claim your bonus now before your account reward is cancelled.","spam"
"I will send the payment receipt after lunch.","ham"
"Act fast to unlock your exclusive discount coupon.","spam"
"Thanks for helping me with the assignment.","ham"
"Get instant approval for a personal loan. No documents required.","spam"
"Please check the email and let me know your feedback.","ham"
"Limited offer: receive a free smartphone with your subscription.","spam"
"We are planning a team call at 6 PM.","ham"
"Your prize is ready. Pay a small processing fee to receive it.","spam"
"Your order has been shipped and will arrive tomorrow.","ham"
"Free trial available! Enter your card details to activate the offer.","spam"
"Reminder: your library book is due next week.","ham"
"Win a new car in our lucky draw. Enter today for free.","spam"
"Can you pick up some groceries on your way home?","ham"
"Special cash bonus available for selected customers. Act immediately.","spam"
"The exam timetable has been uploaded to the portal.","ham"
"Congratulations! Your mobile number has won our monthly jackpot.","spam"
"I will be late by ten minutes because of traffic.","ham"
"Your account has won a bonus of $500. Verify your details to collect it.","spam"
"Please find the attached invoice for your records.","ham"
"Make easy money online with our secret system. Limited places.","spam"
"Let's meet near the main gate after class.","ham"
"Urgent notification: your reward is waiting. Confirm your information.","spam"
"Your interview is scheduled for Monday at 11 AM.","ham"
"Free membership upgrade available. Confirm your account now.","spam"
"Could you send me the address of the venue?","ham"
"Congratulations, you qualify for a free credit card with instant approval.","spam"
"The project presentation is scheduled for next Thursday.","ham"
"Exclusive deal: 80 percent off electronics for the next two hours.","spam"
"Thank you for your message. I will get back to you soon.","ham"
"Your prize is waiting. Click now to claim your reward.","spam"
"Please bring your ID card for the event.","ham"
"Earn money by completing simple online tasks. Register today.","spam"
"I have completed the first part of the assignment.","ham"
"Free ringtone subscription available. Text YES to activate.","spam"
"Can we talk about the internship tomorrow?","ham"
"Important: you have an unclaimed prize. Contact our rewards team.","spam"
"The office will remain closed on Sunday.","ham"
"Get a guaranteed job interview. Send your details now.","spam"
"Please review the document before the meeting.","ham"
"Flash sale! Huge discounts available only for the next hour.","spam"
"I am sharing the class notes with everyone.","ham"
"Your reward has been approved. Click to receive it.","spam"
"The train is running about fifteen minutes late.","ham"
"Act now! Double your money with our guaranteed investment opportunity.","spam"
"Let me know when you reach the hostel.","ham"
"Claim a free coupon worth $500. Offer ends today.","spam"
"We need to finalize the project topic this week.","ham"
"Winner! Your number has been selected for a cash jackpot.","spam"
"Your appointment has been confirmed for Tuesday.","ham"
"Limited time offer: earn money from home with no experience required.","spam"
"Please update the spreadsheet before 5 PM.","ham"
"Free cash reward available for selected customers.","spam"
"I will be available after 4 PM today.","ham"
"Exclusive lottery winner announcement. Reply to receive your prize.","spam"
"Thanks, I received the files.","ham"
"Get a free gift when you purchase today.","spam"
"Can you explain this question when you are free?","ham"
"Your account has been selected for a special reward.","spam"
"The workshop starts at 10 AM in room 204.","ham"
"Claim your free prize before the offer expires.","spam"
"Please submit your feedback through the form.","ham"
"Earn $5000 from home every month. Register now.","spam"
"I have booked the tickets for Saturday.","ham"
"Congratulations! You have won our monthly prize.","spam"
"Let's meet tomorrow and finish the project.","ham"
"Your reward will expire today. Claim it now.","spam"
"The report looks good. Please make the final changes.","ham"
